dataset,fragment,events,generator,gridpack,time per event,size per event,match efficiency,filter efficiency
ttZPrimeTott_M1250_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1250_relwidth50_madspin_tarball.tar.xz,1.63353,158.0308,1.0,1.0
ttZPrimeTott_M1500_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1500_relwidth4_madspin_tarball.tar.xz,1.6031849999999999,159.104,1.0,1.0
ttZPrimeTott_M1500_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1500_relwidth10_madspin_tarball.tar.xz,1.54913,158.2376,1.0,1.0
ttZPrimeTott_M1500_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1500_relwidth20_madspin_tarball.tar.xz,1.62968,158.1977,1.0,1.0
ttZPrimeTott_M1500_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1500_relwidth50_madspin_tarball.tar.xz,1.657775,159.5054,1.0,1.0
ttZPrimeTott_M1750_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1750_relwidth4_madspin_tarball.tar.xz,2.094505,158.5807,1.0,1.0
ttZPrimeTott_M1750_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1750_relwidth10_madspin_tarball.tar.xz,1.551815,157.1624,1.0,1.0
ttZPrimeTott_M1750_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1750_relwidth20_madspin_tarball.tar.xz,1.55792,157.099,1.0,1.0
ttZPrimeTott_M1750_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m1750_relwidth50_madspin_tarball.tar.xz,1.68462,158.7445,1.0,1.0
ttZPrimeTott_M2000_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m2000_relwidth4_madspin_tarball.tar.xz,1.52264,159.8545,1.0,1.0
ttZPrimeTott_M2000_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m2000_relwidth10_madspin_tarball.tar.xz,1.555945,159.4603,1.0,1.0
ttZPrimeTott_M2000_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m2000_relwidth20_madspin_tarball.tar.xz,2.2575950000000002,157.3386,1.0,1.0
ttZPrimeTott_M2000_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m2000_relwidth50_madspin_tarball.tar.xz,1.73061,160.1024,1.0,1.0
ttZPrimeTott_M2500_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m2500_relwidth4_madspin_tarball.tar.xz,2.2113249999999995,159.7306,1.0,1.0
ttZPrimeTott_M2500_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m2500_relwidth10_madspin_tarball.tar.xz,2.20392,158.6032,1.0,1.0
ttZPrimeTott_M2500_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m2500_relwidth20_madspin_tarball.tar.xz,2.311095,158.848,1.0,1.0
ttZPrimeTott_M2500_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m2500_relwidth50_madspin_tarball.tar.xz,1.623165,157.4287,1.0,1.0
ttZPrimeTott_M3000_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m3000_relwidth4_madspin_tarball.tar.xz,1.45911,159.4613,1.0,1.0
ttZPrimeTott_M3000_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m3000_relwidth10_madspin_tarball.tar.xz,1.6244299999999998,158.7507,1.0,1.0
ttZPrimeTott_M3000_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m3000_relwidth20_madspin_tarball.tar.xz,1.575445,157.8137,1.0,1.0
ttZPrimeTott_M3000_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m3000_relwidth50_madspin_tarball.tar.xz,1.647165,155.8794,1.0,1.0
ttZPrimeTott_M4000_width4_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m4000_relwidth4_madspin_tarball.tar.xz,0.994467,157.2782,1.0,1.0
ttZPrimeTott_M4000_width10_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m4000_relwidth10_madspin_tarball.tar.xz,1.587945,154.7939,1.0,1.0
ttZPrimeTott_M4000_width20_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m4000_relwidth20_madspin_tarball.tar.xz,1.251505,157.3867,1.0,1.0
ttZPrimeTott_M4000_width50_TuneCP5_13TeV-madgraph-pythia8,genFragments/Hadronizer/13TeV/Hadronizer_TuneCP5_13TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_madspin_gridpacks/TopPhilic_ttzp_m4000_relwidth50_madspin_tarball.tar.xz,1.55457,156.9761,1.0,1.0
