dataset,fragment,events,generator,gridpack
ttZPrimeTott_M1250_width50_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1250_relwidth50_xsec_tarball.tar.xz
ttZPrimeTott_M1500_width4_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1500_relwidth4_xsec_tarball.tar.xz
ttZPrimeTott_M1500_width10_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1500_relwidth10_xsec_tarball.tar.xz
ttZPrimeTott_M1500_width20_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1500_relwidth20_xsec_tarball.tar.xz
ttZPrimeTott_M1500_width50_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1500_relwidth50_xsec_tarball.tar.xz
ttZPrimeTott_M1750_width4_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1750_relwidth4_xsec_tarball.tar.xz
ttZPrimeTott_M1750_width10_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1750_relwidth10_xsec_tarball.tar.xz
ttZPrimeTott_M1750_width20_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1750_relwidth20_xsec_tarball.tar.xz
ttZPrimeTott_M1750_width50_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m1750_relwidth50_xsec_tarball.tar.xz
ttZPrimeTott_M2000_width4_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m2000_relwidth4_xsec_tarball.tar.xz
ttZPrimeTott_M2000_width10_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m2000_relwidth10_xsec_tarball.tar.xz
ttZPrimeTott_M2000_width20_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m2000_relwidth20_xsec_tarball.tar.xz
ttZPrimeTott_M2000_width50_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m2000_relwidth50_xsec_tarball.tar.xz
ttZPrimeTott_M2500_width4_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m2500_relwidth4_xsec_tarball.tar.xz
ttZPrimeTott_M2500_width10_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m2500_relwidth10_xsec_tarball.tar.xz
ttZPrimeTott_M2500_width20_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m2500_relwidth20_xsec_tarball.tar.xz
ttZPrimeTott_M2500_width50_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m2500_relwidth50_xsec_tarball.tar.xz
ttZPrimeTott_M3000_width4_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m3000_relwidth4_xsec_tarball.tar.xz
ttZPrimeTott_M3000_width10_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m3000_relwidth10_xsec_tarball.tar.xz
ttZPrimeTott_M3000_width20_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m3000_relwidth20_xsec_tarball.tar.xz
ttZPrimeTott_M3000_width50_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m3000_relwidth50_xsec_tarball.tar.xz
ttZPrimeTott_M4000_width4_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m4000_relwidth1_xsec_tarball.tar.xz
ttZPrimeTott_M4000_width10_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m4000_relwidth10_xsec_tarball.tar.xz
ttZPrimeTott_M4000_width20_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m4000_relwidth20_xsec_tarball.tar.xz
ttZPrimeTott_M4000_width50_TuneCP5_13p6TeV-madgraph-pythia8,genFragments/Hadronizer/13p6TeV/Hadronizer_TuneCP5_13p6TeV_generic_LHE_pythia8_cff.py,1000,madgraph,/nfs/dust/cms/user/mkomm/ttx3/Generation/TopPhilic_ttzp_13p6TeV_nodecay_gridpacks/TopPhilic_ttzp_13p6TeV_nodecay_m4000_relwidth50_xsec_tarball.tar.xz
