prepid,Dataset name,Events,fragment,notes,Generator,mcdbid,time,size
B2G-Run3Summer22EEwmLHEGS-00423,GluGlutoBulkGravitontoHHto4Vto1L_M-250_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M250_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-250 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
B2G-Run3Summer22EEwmLHEGS-00424,GluGlutoBulkGravitontoHHto4Vto1L_M-260_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M260_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-260 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
B2G-Run3Summer22EEwmLHEGS-00425,GluGlutoBulkGravitontoHHto4Vto1L_M-270_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M270_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-270 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
B2G-Run3Summer22EEwmLHEGS-00426,GluGlutoBulkGravitontoHHto4Vto1L_M-280_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M280_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-280 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
B2G-Run3Summer22EEwmLHEGS-00427,GluGlutoBulkGravitontoHHto4Vto1L_M-300_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M300_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-300 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
B2G-Run3Summer22EEwmLHEGS-00428,GluGlutoBulkGravitontoHHto4Vto1L_M-350_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M350_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-350 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
B2G-Run3Summer22EEwmLHEGS-00429,GluGlutoBulkGravitontoHHto4Vto1L_M-450_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M450_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-450 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
B2G-Run3Summer22EEwmLHEGS-00430,GluGlutoBulkGravitontoHHto4Vto1L_M-550_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M550_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-550 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
B2G-Run3Summer22EEwmLHEGS-00431,GluGlutoBulkGravitontoHHto4Vto1L_M-600_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M600_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-600 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
B2G-Run3Summer22EEwmLHEGS-00432,GluGlutoBulkGravitontoHHto4Vto1L_M-650_narrow_TuneCP5_13p6TeV_madgraph-pythia8,312000,"
import FWCore.ParameterSet.Config as cms

# link to cards:
# https://github.com/cms-sw/genproductions/tree/master/bin/MadGraph5_aMCatNLO/cards/production/13p6TeV/HHresonant/Spin-2

externalLHEProducer = cms.EDProducer('ExternalLHEProducer',
    args = cms.vstring('/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/GF_HH_Spin2/BulkGraviton_hh_GF_HH_narrow_M650_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz'),
    nEvents = cms.untracked.uint32(5000),
    numberOfParameters = cms.uint32(1),
    outputFile = cms.string('cmsgrid_final.lhe'),
    generateConcurrently = cms.untracked.bool(False),
    scriptName = cms.FileInPath('GeneratorInterface/LHEInterface/data/run_generic_tarball_cvmfs.sh')
)


from Configuration.Generator.Pythia8CommonSettings_cfi import *
from Configuration.Generator.MCTunesRun3ECM13p6TeV.PythiaCP5Settings_cfi import *
from Configuration.Generator.PSweightsPythia.PythiaPSweightsSettings_cfi import *

generator = cms.EDFilter(""Pythia8ConcurrentHadronizerFilter"",
                         maxEventsToPrint = cms.untracked.int32(1),
                         pythiaPylistVerbosity = cms.untracked.int32(1),
                         filterEfficiency = cms.untracked.double(1.0),
                         pythiaHepMCVerbosity = cms.untracked.bool(False),
                         comEnergy = cms.double(13600.),
                         PythiaParameters = cms.PSet(
        pythia8CommonSettingsBlock,
        pythia8CP5SettingsBlock,
        pythia8PSweightsSettingsBlock,
        processParameters = cms.vstring(
           
    '23:mMin = 0.05',
    '24:mMin = 0.05',
    '25:m0 = 125.0',
    '25:onMode = off',
    '25:onIfMatch = 24 -24',
    '25:onIfMatch = 23 23',
    '23:onMode = off',
    '23:onIfAny = 1 2 3 4 5 12 14 16',
    'ResonanceDecayFilter:filter = on',
    'ResonanceDecayFilter:allNuAsEquivalent = on',
    'ResonanceDecayFilter:eMuTauAsEquivalent = on',
    'ResonanceDecayFilter:exclusive = on',
    'ResonanceDecayFilter:mothers = 24',
    'ResonanceDecayFilter:daughters = 11 12',

            ),
        parameterSets = cms.vstring('pythia8CommonSettings',
                                    'pythia8CP5Settings',
                                    'pythia8PSweightsSettings',
                                    'processParameters'
                                    )
        )
                         )

ProductionFilterSequence = cms.Sequence(generator)
",GluGlutoBulkGravitontoHHto4Vto1L M-650 narrow TuneCP5 13p6TeV madgraph-pythia8,Madgraph_2.9.13  Pythia8,0,35,950
